Country and region,"General government
gross debt 2024","Gross debt
2022","Net debt
2021"
Timor-Leste,14.2,7.490,-
Togo,68.3,68.037,-
Tonga,43.8,46.581,
Trinidad and Tobago,56,53.750,11.5
Tunisia,78.6,79.364,
Turkey,29.5,31.178,33.8
Turkmenistan,4.7,5.186,
Tuvalu,7,7.587,
Uganda,49.7,50.834,
Ukraine,95.6,81.693,
United Arab Emirates,30.3,29.958,
United Kingdom,101.8,102.636,84.3
United States,121,121.683,99.6
Uruguay,61.9,61.000,54.7
Uzbekistan,36,34.295,
Vanuatu,44,45.752,
Venezuela,-,157.809,
Vietnam,33.5,37.091,
Palestinian territories,-,59.776,
Yemen,81.4,73.531,69.3
Zambia,-,-,117.5
Zimbabwe,98.5,92.824,
